Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword115	Question (lightning)	1		weap	armo	shld							5 Perfect Topaz	gpy	gpy	gpy	gpy	gpy		dmg-ltng		53	71	abs-ltng%		53	71	res-ltng-max		17	19	dmg-ltng/lvl	173															0
Runeword117	Rain	1		tors									OrtMalIth	r09	r23	r06				hit-skill	Twister	5	15	gethit-skill	Cyclone Armor	5	15	dru		2	2	mana		100	150													0
Runeword118	Reason (aether)	1		weap	armo	shld							4 Perfect Amethyst	gpv	gpv	gpv	gpv			dmg-mag		31	47	abs-mag%		31	47	res-mag-max		11	13	allskills		0	2	magicarrow		1	1	res-mag		31	47					0
Runeword119	Red (Fire)	1		weap	armo	shld							4 Perfect Ruby	gpr	gpr	gpr	gpr			dmg-fire		31	47	abs-fire%		31	47	res-fire-max		11	13	dmg-fire/lvl	113			fireskill		0	2	explosivearrow		1	1					0
Runeword121	Rift	1		pole	scep								HelKoLemGul	r15	r18	r20	r25			dmg-mag		160	250	dmg-fire		60	180	dmg-to-mana		38	38	hit-skill	Tornado	20	16	att-skill	Frozen Orb	16	21	charged	Iron Maiden	40	15	all-stats		5	10	0
Runeword76	The Lovers	1		helm	tors	glov							FehuUruz	f01	f02					heal-kill		53	151	mana-kill		53	151	openwounds		2	31	crush		2	31	deadly		2	31									0
Runeword143	Thirst (shadow)	1		weap	shld								3 skull	sku	sku	sku				hp/time	0	31	47	mana/time	2	31	47	regen		13	29	regen-mana		13	29													0
Runeword68	Thirst for Knowledge (aether)	1		weap	armo	shld							5 Perfect Amethyst	gpv	gpv	gpv	gpv	gpv		dmg-mag		53	71	abs-mag%		53	71	res-mag-max		17	19	allskills		0	3	magicarrow		1	1	res-mag		53	71					0
Runeword144	Thought (aether)	1		weap	helm								2 chipped amethyst	gcv	gcv					dmg%/time	0	2	29	ac%/time	2	2	29																					0
Runeword145	Thunder (lightning)	1		weap	armo	shld							3 Perfect Topaz	gpy	gpy	gpy				dmg-ltng		13	29	abs-ltng%		13	29	res-ltng-max		5	7	dmg-ltng/lvl	71															0
Runeword146	Time	1		boot									JeraRaido	f12	f05					gethit-skill	Blaze	10	5	regen-stam		50	50	move2		100	100	stamdrain		50	50													0
Runeword147	Tradition	1		shld									ThurzAnsuzRaido	f03	f04	f05				block1		5	23	half-freeze		1	1	ac%/time	0	53	199	res-ltng/time	2	23	43													0
Runeword148	Treachery	1		tors									ShaelThulLem	r13	r10	r20				hit-skill	Venom	25	15	gethit-skill	Fade	5	15	ass		2	2	swing2		45	45													0
Runeword149	Trust																																															0
Runeword150	Truth (aether)	1		weap	armo	shld							6 Perfect Amethyst	gpv	gpv	gpv	gpv	gpv	gpv	dmg-mag		73	97	abs-mag%		73	97	res-mag-max		23	29	allskills		0	5	magicarrow		1	1	res-mag		73	97					0
Runeword151	Unbending Will	1		weap									KenazGeboWunjoHagal	f06	f07	f08	f09			dmg%/time	0	67	227	wounds/time	2	1	100	charged	Enchant	17	19	charged	Bless	17	19													0
Runeword152	Valor	1		weap									NaudIsazJeraEihoz	f10	f11	f12	f13			dmg%/time	1	53	263	deadly/time	3	11	97																					0
Runeword153	Vengeance			weap										r06	r11	r01																																0
Runeword155	Victory																																															0
Runeword156	Voice	1		helm									ThursKenaz	f03	f06					bar		2	3	oskill	Battle Command	1	3	oskill	Battle Orders	1	3	oskill	Shout	1	3	regen		17	23	ac%		105	210					0
Runeword157	Void	0		helm																																												0
Runeword158	War	1		spea	swor	axe							PerthAlgizSowilTiwazBjark	f14	f15	f16	f17	f18		dmg%/time	2	47	313	deadly/time	0	5	97	aura	Fanaticism	7	11																	0
Runeword159	Water (cold)	1		weap	shld								3 saphire	gsb	gsb	gsb				dmg-cold/time	0	31	47	res-cold/time	2	31	47	mana%		13	29																	0
Runeword161	Whisper (cold)	1		weap	armo	shld							4 Perfect Saphire	gpb	gpb	gpb	gpb			dmg-cold		31	47	abs-cold%		31	47	res-cold-max		11	13	dmg-cold/lvl	113			half-freeze		1	1									0
Runeword47	Widowmaker	1		swor	axe								EthTirLoMalRal	r05	r03	r28	r23	r08		dmg-dem/lvl	15			dmg		340	400	swing3		30	40	hit-skill	Venom	35	15	pierce-pois		20	25	ignore-ac		1	1	heal-kill		10	15	0
Runeword163	Wind	1		mele										r29	r01					dmg%		120	160	swing2		40	40	move2		20	20	reduce-ac		50	50	hit-skill	245	10	9	charged	240	127	13	balance2		15	15	0
Runeword164	Wings of Hope																																															0
Runeword99	Winter	1		swor	mace								LemKoElEld	r20	r18	r01	r02			dmg-demon		220	350	dmg-undead		280	300	dmg-cold		100	220	pierce-cold		24	24	hit-skill	Ice Blast	18	20	hit-skill	Frozen Orb	15	13	nofreeze		1	1	0
Runeword165	Wisdom			shld	staf	wand																																										0
Runeword166	Woe	1		weap	miss								IsazUruz	f11	f02					gethit-skill	Chilling Armor	5	20	gethit-skill	Frost Nova	10	20	res-cold		55	55	res-cold-max		5	25	dmg%		25	100									0
Runeword167	Grifter's Rest	1		wand									JeraManaz	f12	f20					nec		2	5	gethit-skill	Raise Skeleton	20	15	oskill	Skeleton Mastery	3	7	aura	Sanctuary	7	11													0
Runeword168	Wrath	1		miss									PulLumBerMal	r21	r17	r30	r23			dmg-demon		300	300	dmg-undead		250	300	dmg-ltng		41	240	dmg-mag		85	120	hit-skill	Life Tap	5	10	hit-skill	decrepify	30	1	nofreeze		1	1	0
Runeword169	Youth	1		armo	shld								EhwazManazLaguzYngviOdalDagaz	f19	f20	f21	f22	f23	f24	aura	Meditation	7	23	ac%/time	1	71	281	randclassskill		2	5	res-all		13	23													0
